0.000000,2.749329
0.002000,2.756969
0.004000,2.751876
0.006000,2.762063
0.008000,2.764610
0.010000,2.764610
0.012000,2.779890
0.014000,2.784984
0.016000,2.774797
0.018000,2.787531
0.020000,2.790077
0.022000,2.787531
0.024000,2.807905
0.026000,2.805358
0.028000,2.805358
0.030000,2.818092
0.032000,2.823185
0.034000,2.823185
0.036000,2.838466
0.038000,2.841012
0.040000,2.846106
0.042000,2.858840
0.044000,2.848653
0.046000,2.858840
0.048000,2.866480
0.050000,2.863933
0.052000,2.874120
0.054000,2.886854
0.056000,2.879214
0.058000,2.886854
0.060000,2.894494
0.062000,2.889401
0.064000,2.902134
0.066000,2.899588
0.068000,2.917415
0.070000,2.912321
0.072000,2.917415
0.074000,2.927602
0.076000,2.919962
0.078000,2.930149
0.080000,2.930149
0.082000,2.930149
0.084000,2.947976
0.086000,2.945429
0.088000,2.940336
0.090000,2.958163
0.092000,2.955616
0.094000,2.950523
0.096000,2.963256
0.098000,2.970897
0.100000,2.963256
0.102000,2.970897
0.104000,2.981084
0.106000,2.978537
0.108000,2.981084
0.110000,2.983630
0.112000,2.981084
0.114000,2.993817
0.116000,3.001458
0.118000,2.996364
0.120000,2.998911
0.122000,3.004004
0.124000,3.009098
0.126000,3.011645
0.128000,3.024378
0.130000,3.021832
0.132000,3.019285
0.134000,3.034565
0.136000,3.032019
0.138000,3.032019
0.140000,3.039659
0.142000,3.042206
0.144000,3.042206
0.146000,3.054939
0.148000,3.057486
0.150000,3.060033
0.152000,3.070220
0.154000,3.060033
0.156000,3.072767
0.158000,3.070220
0.160000,3.067673
0.162000,3.085500
0.164000,3.085500
0.166000,3.082954
0.168000,3.100781
0.170000,3.095687
0.172000,3.103328
0.174000,3.103328
0.176000,3.108421
0.178000,3.113515
0.180000,3.116061
0.182000,3.116061
0.184000,3.133889
0.186000,3.128795
0.188000,3.133889
0.190000,3.144076
0.192000,3.133889
0.194000,3.146623
0.196000,3.144076
0.198000,3.149169
0.200000,3.161903
0.202000,3.159356
0.204000,3.174637
0.206000,3.174637
0.208000,3.177184
0.210000,3.184824
0.212000,3.184824
0.214000,3.184824
0.216000,3.202651
0.218000,3.200104
0.220000,3.200104
0.222000,3.210291
0.224000,3.202651
0.226000,3.212838
0.228000,3.215385
0.230000,3.220478
0.232000,3.225572
0.234000,3.230665
0.236000,3.225572
0.238000,3.235759
0.240000,3.235759
0.242000,3.238306
0.244000,3.245946
0.246000,3.248493
0.248000,3.245946
0.250000,3.261226
0.252000,3.256133
0.254000,3.256133
0.256000,3.271413
0.258000,3.268867
0.260000,3.273960
0.262000,3.284147
0.264000,3.284147
0.266000,3.284147
0.268000,3.291787
0.270000,3.289241
0.272000,3.304521
0.274000,3.301974
0.276000,3.304521
0.278000,3.314708
0.280000,3.304521
0.282000,3.317255
0.284000,3.327442
0.286000,3.322348
0.288000,3.324895
0.290000,3.332535
0.292000,3.324895
0.294000,3.329989
0.296000,3.329989
0.298000,3.327442
0.300000,3.342722
0.302000,3.340176
0.304000,3.342722
0.306000,3.347816
0.308000,3.340176
0.310000,3.350363
0.312000,3.347816
0.314000,3.352909
0.316000,3.360550
0.318000,3.352909
0.320000,3.360550
0.322000,3.363096
0.324000,3.365643
0.326000,3.365643
0.328000,3.368190
0.330000,3.370737
0.332000,3.370737
0.334000,3.375830
0.336000,3.386017
0.338000,3.378377
0.340000,3.375830
0.342000,3.383470
0.344000,3.383470
0.346000,3.383470
0.348000,3.391111
0.350000,3.398751
0.352000,3.396204
0.354000,3.391111
0.356000,3.401298
0.358000,3.408938
0.360000,3.398751
0.362000,3.408938
0.364000,3.414031
0.366000,3.406391
0.368000,3.411485
0.370000,3.419125
0.372000,3.416578
0.374000,3.416578
0.376000,3.421672
0.378000,3.424218
0.380000,3.419125
0.382000,3.434405
0.384000,3.434405
0.386000,3.426765
0.388000,3.434405
0.390000,3.436952
0.392000,3.431859
0.394000,3.442046
0.396000,3.442046
0.398000,3.439499
0.400000,3.452233
0.402000,3.454779
0.404000,3.444592
0.406000,3.454779
0.408000,3.462420
0.410000,3.457326
0.412000,3.462420
0.414000,3.470060
0.416000,3.459873
0.418000,3.470060
0.420000,3.480247
0.422000,3.475153
0.424000,3.477700
0.426000,3.487887
0.428000,3.475153
0.430000,3.477700
0.432000,3.492981
0.434000,3.487887
0.436000,3.490434
0.438000,3.500621
0.440000,3.487887
0.442000,3.495527
0.444000,3.503168
0.446000,3.500621
0.448000,3.503168
0.450000,3.510808
0.452000,3.503168
0.454000,3.510808
0.456000,3.513355
0.458000,3.508261
0.460000,3.526089
0.462000,3.520995
0.464000,3.520995
0.466000,3.523542
0.468000,3.523542
0.470000,3.533729
0.472000,3.523542
0.474000,3.531182
0.476000,3.531182
0.478000,3.528635
0.480000,3.538822
0.482000,3.536276
0.484000,3.538822
0.486000,3.546463
0.488000,3.536276
0.490000,3.546463
0.492000,3.546463
0.494000,3.541369
0.496000,3.556650
0.498000,3.559196
0.500000,3.549009
0.502000,3.559196
0.504000,3.561743
0.506000,3.559196
0.508000,3.574477
0.510000,3.569383
0.512000,3.571930
0.514000,3.574477
0.516000,3.577024
0.518000,3.571930
0.520000,3.582117
0.522000,3.579570
0.524000,3.579570
0.526000,3.579570
0.528000,3.582117
0.530000,3.579570
0.532000,3.592304
0.534000,3.589757
0.536000,3.589757
0.538000,3.594851
0.540000,3.587211
0.542000,3.592304
0.544000,3.597398
0.546000,3.592304
0.548000,3.587211
0.550000,3.599944
0.552000,3.594851
0.554000,3.589757
0.556000,3.594851
0.558000,3.597398
